object;tag
839;Satel
840;Satel
841;Satel
842;Satel
843;Satel
844;Satel
845;Satel
846;Satel
847;Satel
848;Satel
849;Satel
850;Satel
851;Satel
852;Satel
853;Satel
854;Satel
855;Satel
856;Satel
857;Satel
858;Satel
859;Satel
860;Satel
861;Satel
862;Satel
863;Satel
864;Satel
865;Satel
866;Satel
867;Satel
868;Satel
869;Satel
870;Satel
871;Satel
872;Satel
873;Satel
874;Satel
875;Satel
876;Satel
877;Satel
878;Satel
879;Satel
880;Satel
881;Satel
882;Satel
883;Satel
884;Satel
885;Satel
886;Satel
887;Satel
888;Satel
889;Satel
890;Satel
891;Satel
892;Satel
893;Satel
894;Satel
895;Satel
896;Satel
897;Satel
898;Satel
899;Satel
900;Satel
901;Satel
902;Satel
903;Satel
904;Satel
905;Satel
906;Satel
907;Satel
908;Satel
909;Satel
910;Satel
911;Satel
912;Satel
913;Satel
914;Satel
915;Satel
916;Satel
917;Satel
918;Satel
919;Satel
920;Satel
921;Satel
922;Satel
923;Satel
924;Satel
925;Satel
926;Satel
927;Satel
928;Satel
929;Satel
930;Satel
931;Satel
932;Satel
933;Satel
934;Satel
935;Satel
936;Satel
937;Satel
938;Satel
939;Satel
940;Satel
941;Satel
942;Satel
943;Satel
944;Satel
945;Satel
946;Satel
947;Satel
948;Satel
949;Satel
950;Satel
951;Satel
952;Satel
953;Satel
954;Satel
955;Satel
956;Satel
957;Satel
958;Satel
959;Satel
960;Satel
961;Satel
962;Satel
963;Satel
964;Satel
965;Satel
966;Satel
967;Satel
968;Satel
969;Satel
970;Satel
971;Satel
972;Satel
973;Satel
974;Satel
975;Satel
976;Satel
977;Satel
978;Satel
979;Satel
980;Satel
981;Satel
982;Satel
983;Satel
984;Satel
985;Satel
986;Satel
987;Satel
988;Satel
989;Satel
990;Satel
991;Satel
992;Satel
993;Satel
994;Satel
995;Satel
996;Satel
997;Satel
998;Satel
999;Satel
1000;Satel
1001;Satel
1002;Satel
1003;Satel
1004;Satel
1005;Satel
1006;Satel
1007;Satel
1008;Satel
1009;Satel
1010;Satel
1011;Satel
1012;Satel
1013;Satel
1014;Satel
1015;Satel
1016;Satel
1017;Satel
1018;Satel
1019;Satel
1020;Satel
1021;Satel
1022;Satel
1023;Satel
768;Satel
772;Satel
773;Satel
774;Satel
775;Satel
776;Satel
777;Satel
778;Satel
779;Satel
787;Satel
788;Satel
789;Satel
790;Satel
797;Satel
798;Satel
796;Satel
786;Satel
785;Satel
784;Satel
769;Satel
770;Satel
771;Satel
91;Satel
90;Satel
513;Satel
514;Satel
515;Satel
516;Satel
517;Satel
518;Satel
519;Satel
520;Satel
521;Satel
522;Satel
523;Satel
524;Satel
525;Satel
526;Satel
536;Satel
537;Satel
538;Satel
539;Satel
540;Satel
541;Satel
556;Satel
559;Satel
567;Satel
568;Satel
570;Satel
571;Satel
573;Satel
574;Satel
575;Satel
576;Satel
577;Satel
578;Satel
579;Satel
580;Satel
581;Satel
582;Satel
583;Satel
584;Satel
585;Satel
586;Satel
587;Satel
588;Satel
589;Satel
590;Satel
591;Satel
592;Satel
593;Satel
600;Satel
602;Satel
609;Satel
610;Satel
594;Satel
595;Satel
596;Satel
597;Satel
598;Satel
599;Satel
601;Satel
603;Satel
604;Satel
605;Satel
606;Satel
607;Satel
615;Satel
616;Satel
617;Satel
618;Satel
619;Satel
620;Satel
621;Satel
622;Satel
623;Satel
624;Satel
625;Satel
626;Satel
627;Satel
628;Satel
629;Satel
630;Satel
631;Satel
527;Satel
555;Satel
557;Satel
558;Satel
563;Satel
566;Satel
3427;Satel
3451;Satel
6927;Osw_liczba_sum
6663;R01.1_pwr
6663;Osw_liczba_sum
6665;R01.1_pwr
6665;Osw_liczba_sum
6667;R01.2_pwr
6667;Osw_liczba_sum
6669;R01.2_pwr
6669;Osw_liczba_sum
6672;R01.2_pwr
6672;Osw_liczba_sum
6674;R01.3_pwr
6674;Osw_liczba_sum
6674;Kotłownia_status
6673;R01.3_pwr
6673;Osw_liczba_sum
6673;Kotłownia_status
6657;R01.8_pwr
6657;Osw_liczba_sum
6658;R01.8_pwr
6658;Osw_liczba_sum
6660;Osw_liczba_sum
6661;Osw_liczba_sum
6662;Osw_liczba_sum
7684;R01.8_pwr
7685;R01.8_pwr
7686;R01.8_pwr
6659;R01.8_pwr
6659;Osw_liczba_sum
6680;R01.5_pwr
6680;Osw_liczba_sum
6680;Piwnica_status
6676;R01.4_pwr
6676;Osw_liczba_sum
6675;R01.4_pwr
6150;R0.1_pwr
6150;Osw_liczba_sum
6150;Hall_0p_status
6153;Osw_liczba_sum
6153;Hall_0p_status
7177;R0.1_pwr
6151;Osw_liczba_sum
6151;Hall_0p_status
7175;R0.1_pwr
6155;Osw_liczba_sum
7179;R0.2_pwr
6156;Osw_liczba_sum
7180;R0.2_pwr
6157;Osw_liczba_sum
7181;R0.2_pwr
6158;R0.2_pwr
6158;Osw_liczba_sum
6159;Osw_liczba_sum
7183;R0.2_pwr
6145;Osw_liczba_sum
7169;R0.3_pwr
6146;Osw_liczba_sum
7170;R0.3_pwr
6147;Osw_liczba_sum
7171;R0.3_pwr
6167;Osw_liczba_sum
7191;R0.3_pwr
6168;Osw_liczba_sum
7192;R0.5_pwr
6170;Osw_liczba_sum
7194;R0.5_pwr
6171;Osw_liczba_sum
7195;R0.5_pwr
6152;Osw_liczba_sum
6152;Hall_0p_status
7176;R0.5_pwr
6182;Osw_liczba_sum
6183;Osw_liczba_sum
7206;R0.6_pwr
7207;R0.6_pwr
6184;Osw_liczba_sum
6175;Osw_liczba_sum
7199;R0.8_pwr
6176;Osw_liczba_sum
7200;R0.8_pwr
6177;Osw_liczba_sum
7201;R0.8_pwr
6178;Osw_liczba_sum
7202;R0.8_pwr
6187;Osw_liczba_sum
6187;Komunikacja_0p_status
7211;R0.9_pwr
6190;R0.9_pwr
6190;Osw_liczba_sum
6190;Komunikacja_0p_status
6192;R0.9_pwr
6192;Osw_liczba_sum
6192;Komunikacja_0p_status
6189;R0.9_pwr
6189;Osw_liczba_sum
6189;Komunikacja_0p_status
6164;R0.4_pwr
6164;Osw_liczba_sum
6164;Łazienka_obok_windy_status
6165;R0.4_pwr
6165;Osw_liczba_sum
6165;Łazienka_obok_windy_status
6419;Osw_liczba_sum
6419;Piętro_status
7443;R1.10_pwr
6422;Osw_liczba_sum
7446;R1.8_pwr
6423;Osw_liczba_sum
7447;R1.8_pwr
6420;Osw_liczba_sum
7444;R1.8_pwr
6421;Osw_liczba_sum
7445;R1.8_pwr
6432;Osw_liczba_sum
7456;R1.7_pwr
6434;Osw_liczba_sum
7458;R1.7_pwr
6433;Osw_liczba_sum
7457;R1.7_pwr
6435;Osw_liczba_sum
7459;R1.7_pwr
6426;R1.11_pwr
6426;Osw_liczba_sum
6424;R1.11_pwr
6424;Osw_liczba_sum
6425;R1.11_pwr
6425;Osw_liczba_sum
6439;Osw_liczba_sum
7463;R1.9_pwr
6440;R1.9_pwr
6440;Osw_liczba_sum
6441;R1.9_pwr
6441;Osw_liczba_sum
6456;Osw_liczba_sum
7480;R1.2_pwr
6455;Osw_liczba_sum
7479;R1.2_pwr
6454;Osw_liczba_sum
7478;R1.2_pwr
6408;Osw_liczba_sum
7432;R1.3_pwr
6404;Osw_liczba_sum
6405;Osw_liczba_sum
7428;R1.3_pwr
6406;Osw_liczba_sum
6407;Osw_liczba_sum
7430;R1.3_pwr
6409;Osw_liczba_sum
7433;R1.3_pwr
6410;Osw_liczba_sum
7434;R1.3_pwr
6443;R1.4_pwr
6443;Osw_liczba_sum
6444;Osw_liczba_sum
7468;R1.4_pwr
6445;Osw_liczba_sum
7469;R1.4_pwr
6447;R1.4_pwr
6447;Osw_liczba_sum
6446;Osw_liczba_sum
7470;R1.4_pwr
6400;Osw_liczba_sum
7424;R1.6_pwr
6401;Osw_liczba_sum
7425;R1.6_pwr
6402;Osw_liczba_sum
7426;R1.6_pwr
6664;R01.1_pwr
6664;Osw_liczba_sum
6681;R01.9_pwr
