id;address;datahex;updatetime;name;units;datatype;comment;disablelog;highpriolog;tagcache;export;pollinterval;visparams;enums;covincr;extid;readoninit
9336;9336;00;1592776899;Gościnny1_Fault actual temperature;;1;ETS import;1;1;;0;;;{"0":"normal","1":"fault","default":""};;;
9337;9337;01;1592776899;Gościnny 1_F_Fan coil manual;;1;ETS import;1;0;hvac;0;;;{"0":"auto","1":"manual","default":""};;;
9338;9338;01;1572265644;Gościnny1_On/off request;;1001;ETS import;1;0;;0;;;;;;
9339;9339;0ED6;1592776899;Gościnny 1_F_Setpoint display;°C;9;ETS import;1;0;hvac, hvac_setpoint;0;;{"max":"670760","step":"","control":"spinner","min":"-670760","decimals":"1"};;;;
9340;9340;FE;1586079060;Gościnny 1_F_Request setpoint;;5;ETS import;1;0;;0;;;;;;
9341;9341;FA;1592776899;Gościnny 1_F_Confirm setpoint;;5;ETS import;1;0;;0;;;;;;
9342;9342;;1455714980;Gościnny1_Heating/cooling request;;1;ETS import;1;0;;0;;;;;;
9343;9343;;1455714980;Gościnny1_Request fan speed level manual;;1;ETS import;1;0;;0;;;{"0":"auto","1":"manual","default":""};;;
9344;9344;02;1575279707;Gościnny 1_F_Request fan speed level;;5;ETS import;1;0;hvac_com;0;;{"control":"vselect","icons":"1"};{"0":"wył","1":"zawór","2":"1 bieg","3":"2 bieg","4":"3 bieg","5":"4 bieg","6":"auto","default":""};;;
9345;9345;02;1592776899;Gościnny 1_F_Confirm fan speed level;;5;ETS import;1;0;;0;;;{"0":"wył","1":"zawór","2":"1 bieg","3":"2 bieg","4":"3 bieg","5":"4 bieg","6":"auto","default":""};;;
9346;9346;41;1592776899;Gościnny 1_F_Controller status HVAC;;5;ETS import;1;0;;0;;;;;;
9347;9347;0C4C;1582981975;Gościnny 1_F_New setpoint;°C;9001;;1;0;hvac_com, to_delta_setpoint;0;;{"max":"35","step":"0.5","control":"spinner","min":"7","decimals":"1"};;;;
9348;9348;;1475330247;Gościnny1_F_Change setpoint;;1001;;1;0;to_setpoint, hvac_com;0;;;;;;
9349;9349;02;1592041268;Gościnny 1_F_Fan coil step;;5;;1;0;to_fanlevel, hvac;0;;;;;;
9356;9356;00;1592776898;Gościnny z aneksem_Fault actual temperature;;1;ETS import;1;1;;0;;;{"0":"normal","1":"fault","default":""};;;
9357;9357;00;1592776898;Gościnny z aneksem_F_Fan coil manual;;1;ETS import;1;0;hvac;0;;;{"0":"auto","1":"manual","default":""};;;
9358;9358;01;1572265651;Gościnny z aneksem_On/off request;;1001;ETS import;1;0;;0;;;;;;
9359;9359;0ED6;1592776898;Gościnny z aneksem_F_Setpoint display;°C;9;ETS import;1;0;hvac, hvac_setpoint;0;;{"max":"670760","step":"","control":"spinner","min":"-670760","decimals":"1"};;;;
9360;9360;00;1586079069;Gościnny z aneksem_F_Request setpoint;;5;ETS import;1;0;;0;;;;;;0
9361;9361;FB;1592776898;Gościnny z aneksem_Confirm setpoint;;5;ETS import;1;0;;0;;;;;;
9362;9362;;1455714980;Gościnny z aneksem_Heating/cooling request;;1;ETS import;1;0;;0;;;;;;
